"","mu","lci","uci"
"K",7217.13971114319,5514.61738408928,9657.98125416819
"r",0.264499952203993,0.189910400363685,0.362176620643519
"psi",0.755039168439712,0.534699767853482,0.997783657062106
"sigma.proc",0.052,0.033,0.088
"m",1.001,1.001,1.001
"Hmsy",0.264,0.19,0.362
"SBmsy",2656.364,2029.728,3554.748
"MSY",703.109,619.932,787.356
"bmsyk",0.368,0.368,0.368
"P1992",0.769,0.54,1.024
"P2021",0.251,0.106,0.409
"B_Bmsy.cur",0.681,0.289,1.112
"H_Hmsy.cur",1.255,0.71,3.031
