"","B","F","BBmsy","FFmsy","BB0","procB","SPt"
"1992",6015.69873110512,0.137839350116969,2.01910289448361,0.596999790642787,0.807604370799442,0.0183349320956072,0
"1993",5543.29491943176,0.102460722629866,1.86558090498873,0.442641546051024,0.746198372091484,0.00579540814897506,376.630220957942
"1994",5451.5940170482,0.0738701377926589,1.83909670381595,0.318779358776549,0.735605174150606,0.00942282629105939,489.596707658231
"1995",5525.53961932452,0.0663663687654577,1.85726416709806,0.286385127666238,0.742871828461812,0.0041226382099353,472.585035872149
"1996",5602.90687285414,0.0797960792082571,1.88090340337253,0.344992609667798,0.752327092277132,0.000690484908828282,446.680192982433
"1997",5571.44569576329,0.123126031866944,1.8699997148436,0.531968146445336,0.747965815525039,-0.00117057510563434,419.958741069696
"1998",5269.44634736171,0.141308394663078,1.76392681313217,0.612216010699276,0.705538587433009,-0.00639233244270621,388.559713623939
"1999",4973.86287813144,0.175675128452055,1.66097133089784,0.76220500938621,0.664358270334076,-0.00590865890959513,447.950739702727
"2000",4588.22353726455,0.182013799779302,1.53856888206675,0.78795495797168,0.615399520909955,-0.00534117770774012,503.487828046734
"2001",4304.11630555904,0.201552639023707,1.44568774003126,0.871364174601951,0.578248756341372,-0.00358807006748663,565.190807361081
"2002",4024.49893501126,0.237349795724684,1.34763960051242,1.02873909033167,0.539031286919427,-0.00617773135738542,576.843517602086
"2003",3699.91876021122,0.269408347752838,1.23590431430884,1.16802567642184,0.494339208196212,-0.0016809820699617,631.805907083529
"2004",3370.13396282265,0.30048419993835,1.12877889968562,1.30636046652137,0.451490994115698,0.00260872067407503,678.412482854598
"2005",3027.77604654462,0.263066684391124,1.01719040280444,1.13808362437301,0.406857628447018,0.00361606789232249,691.865134483646
"2006",2910.05092424627,0.238061127059316,0.977440471983193,1.03061089605882,0.390958380341375,-0.00091780001221764,680.334351469698
"2007",2904.39985700675,0.271392728199853,0.975083125329958,1.17751992704557,0.390015484629699,-0.00153820770527924,680.581518003971
"2008",2798.81553177805,0.244841073740363,0.937014901250165,1.06348415097474,0.374788888580825,-0.00134460057652497,679.093180317208
"2009",2805.88714397256,0.274245884031383,0.940424654192288,1.19095463546616,0.376152727633767,0.0001699854380659,683.332626968366
"2010",2724.48596908289,0.264565135658373,0.912504359843073,1.15230755754341,0.364985118587176,0.00179345690939003,686.690274948552
"2011",2700.07111053329,0.293520417847619,0.904144871572478,1.27510971616729,0.361641475584423,0.00565185184235606,699.455873210649
"2012",2575.96763450123,0.284930598731564,0.864364907969189,1.23833346888139,0.345730214913146,-0.00110752846461404,680.613272658897
"2013",2505.95268171463,0.285010972027514,0.841093051661518,1.23743361861335,0.336421896391073,-0.00244166279291314,668.231386307045
"2014",2452.26737596275,0.326077821451858,0.821557577734745,1.41566307882192,0.328608062746436,-0.00118296913592575,665.852821902724
"2015",2301.76776462157,0.365307930616801,0.771500978979478,1.58214402239989,0.308586335249261,-0.00413272619602445,659.54949616876
"2016",2133.31027999148,0.351512395483152,0.71403524238341,1.5249434315906,0.285601087606366,0.00413110559163021,681.204529399507
"2017",2030.13750604806,0.363723145747607,0.683051151420221,1.5735225050504,0.27320801573495,0.00237733855735422,650.079834546758
"2018",1925.48892472462,0.274899529789446,0.653647573477704,1.17905550545261,0.261447120275686,0.000795108190304816,623.854749568668
"2019",2004.92808996114,0.324254522577911,0.686084829765032,1.38121559650346,0.274421431800848,-0.000642566692505842,582.951926577119
"2020",1997.29703977505,0.350025053376279,0.683682677909277,1.49597079995932,0.273460614824492,0.000931982494373429,589.252415516481
"2021",1931.57630999352,0.307003144438137,0.658365741164835,1.32083655998406,0.263334301388002,-0.000672138857060744,571.191019722281
