"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",6862.62422034368,5142.0391350476,9187.26693549362,0.077,0.156
"r",0.41566940053364,0.294655062093595,0.582768210871312,0.094,0.462
"q",0.00027116160358912,0.000186732825263003,0.000399219205066272,0.018,0.096
"psi",0.799613371145634,0.550767869652789,1.07388385226985,0.709,0.818
"sigma2",0.00269118516007166,0.00116158183566445,0.00820991248625947,0.258,0.308
"tau2",0.0126175709601888,0.000646040776503473,0.137529555767043,0.759,0.907
"m",2,2,2,NA,NA
