"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",7217.13971114319,5514.61738408928,9657.98125416819,0.14,0.119
"r",0.264499952203993,0.189910400363685,0.362176620643519,0.207,0.312
"q",0.000296016816307484,0.000200245747459871,0.000429101105623199,0.148,0.212
"psi",0.755039168439712,0.534699767853482,0.997783657062106,0.226,0.632
"sigma2",0.00266620631144828,0.00112203693953019,0.00776421149351783,0.557,0.644
"tau2",0.007802533942299,0.000599379310213576,0.0938265283221484,0.905,0.72
"m",1.001,1.001,1.001,NA,NA
