"","mu","lci","uci"
"K",7502.77246570494,5763.58177567151,9912.69842284019
"r",0.274635819361712,0.194966836325344,0.374798224264084
"psi",0.78987939630152,0.56512582089958,1.04270404093211
"sigma.proc",0.052,0.034,0.091
"m",1.188,1.188,1.188
"Hmsy",0.231,0.164,0.315
"SBmsy",3000.972,2305.328,3964.899
"MSY",692.546,600.164,786.202
"bmsyk",0.4,0.4,0.4
"P1992",0.808,0.573,1.074
"P2021",0.263,0.071,0.462
"B_Bmsy.cur",0.658,0.178,1.155
"H_Hmsy.cur",1.321,0.689,4.923
