"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",7502.77246570494,5763.58177567151,9912.69842284019,0.611,0.281
"r",0.274635819361712,0.194966836325344,0.374798224264084,0.69,0.772
"q",0.00026954651046428,0.000178243460867649,0.000388323494428481,0.731,0.766
"psi",0.78987939630152,0.56512582089958,1.04270404093211,0.768,0.35
"sigma2",0.00267571991477852,0.00113046395484475,0.00819527351143895,0.346,0.644
"tau2",0.00806988771017042,0.000589368981803904,0.103081818632445,0.61,0.235
"m",1.188,1.188,1.188,NA,NA
