Date,Lake_ID,monSiteCode,Lake_name,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,B3_B5,B4_B5_B6,B5_B4,ampl,avw,class
2017-04-02,1,LTL106,Spindzius,0.010400000000000001,0.01335,0.01625,0.006750000000000001,0.004025,0.0005,0.0018250000000000002,0.001,0.000575,0.0001,0.0038000000000000004,0.00255,4.037267080745342,0.0003999999999999993,0.5962962962962962,0.01575,547.3315205854705,Clear
2017-04-02,2,LTL137,Vievis,0.0167,0.0183,0.018933333333333333,0.0114,0.012066666666666668,0.010433333333333334,0.010233333333333336,0.009133333333333334,0.009566666666666668,0.0001,0.005933333333333333,0.0032333333333333333,1.5690607734806628,0.00115,1.0584795321637428,0.008699999999999998,550.7781201848999,Clear
2017-05-12,1,LTL106,Spindzius,0.024,0.01175,0.017675000000000003,0.008275000000000001,0.00835,0.006,0.00595,0.007500000000000001,0.007825,0.0001,0.0117,0.008700000000000001,2.116766467065869,0.0012124999999999992,1.0090634441087611,0.011725000000000003,554.5283717531586,Clear
2017-05-25,0,LTL10,Rubikikiu ez.,0.0057,0.0109,0.0073,0.0038,0.003,0.0013000000000000002,0.0024000000000000002,0.0024000000000000002,0.0018000000000000002,0.0001,0.0031000000000000003,0.0026000000000000003,2.433333333333333,0.0004499999999999999,0.7894736842105263,0.0096,536.6521468574985,Clear
2017-06-21,2,LTL137,Vievis,0.0119,0.01693333333333333,0.022933333333333333,0.015966666666666667,0.014633333333333333,0.0089,0.009166666666666667,0.007899999999999999,0.009466666666666667,0.0045000000000000005,0.014166666666666668,0.012933333333333333,1.5671981776765376,0.002199999999999999,0.9164926931106472,0.014033333333333333,561.0249676212404,Clear
2017-07-14,1,LTL106,Spindzius,0.030500000000000003,0.043875000000000004,0.05475,0.025175000000000003,0.02,0.009125000000000001,0.007425,0.006875000000000001,0.0068000000000000005,0.0033,0.01095,0.010975,2.7375,0.0028499999999999984,0.7944389275074478,0.047325,549.8170282671501,Clear
2017-08-30,1,LTL106,Spindzius,0.0012000000000000001,0.01175,0.0154,0.0037500000000000003,0.0006500000000000001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0019000000000000002,0.0018000000000000002,23.69230769230769,-0.001275,0.17333333333333334,0.015300000000000001,540.9787974237224,Clear
2017-09-29,1,LTL106,Spindzius,0.0078000000000000005,0.013575,0.01485,0.005475,0.005900000000000001,0.0021000000000000003,0.00235,0.0028250000000000003,0.004175,0.0001,0.004625000000000001,0.0037,2.516949152542373,0.0021125000000000007,1.0776255707762559,0.012750000000000001,542.790622682274,Clear
2017-09-29,2,LTL137,Vievis,0.007500000000000001,0.01315,0.0139,0.00825,0.0069500000000000004,0.00625,0.0057,0.00655,0.00605,0.0011,0.0048000000000000004,0.0023500000000000005,1.9999999999999998,-0.0002999999999999999,0.8424242424242424,0.008199999999999999,551.0099549407942,Clear
2017-10-02,0,LTL10,Rubikikiu ez.,0.0032666666666666664,0.013,0.018033333333333335,0.0128,0.012266666666666667,0.007033333333333333,0.0075,0.0067,0.007300000000000001,0.0001,0.0037,0.0025,1.470108695652174,0.0023499999999999997,0.9583333333333334,0.011000000000000003,562.1019163113159,Clear
2017-10-02,1,LTL106,Spindzius,0.024300000000000002,0.026125000000000002,0.022725000000000002,0.013975000000000001,0.012450000000000001,0.009225,0.008975,0.0108,0.0091,0.0068000000000000005,0.011175000000000001,0.011,1.8253012048192772,0.0008500000000000001,0.8908765652951699,0.017150000000000002,546.724035694986,Clear
2017-10-19,0,LTL10,Rubikikiu ez.,0.021099999999999997,0.014716666666666668,0.011066666666666667,0.0048000000000000004,0.0028666666666666667,0.0001,0.00016666666666666666,0.0006166666666666667,0.0001,0.0001,0.0005666666666666667,0.0009833333333333335,3.86046511627907,0.0004166666666666663,0.5972222222222222,0.014616666666666668,536.4182994222557,Clear
2018-04-07,1,LTL106,Spindzius,0.0158,0.01675,0.0182,0.012975,0.011775,0.012,0.012075,0.01305,0.012025000000000001,0.0142,0.012700000000000001,0.010025000000000001,1.5456475583864118,-0.0007124999999999996,0.9075144508670521,0.006425,556.0070407177793,Clear
2018-04-10,1,LTL106,Spindzius,0.0193,0.029625000000000002,0.026750000000000003,0.019325000000000002,0.019425,0.017875,0.018000000000000002,0.016775,0.0182,0.0162,0.012775,0.0085,1.377091377091377,0.0008250000000000028,1.0051746442432083,0.011750000000000003,551.3988547845264,Clear
2018-04-20,1,LTL106,Spindzius,0.0092,0.01235,0.01535,0.008025000000000001,0.006900000000000001,0.0046500000000000005,0.006425,0.0049250000000000006,0.0056500000000000005,0.0036000000000000003,0.005125,0.0034000000000000002,2.22463768115942,0.0005624999999999996,0.8598130841121495,0.010700000000000001,552.3135203578584,Clear
2018-04-20,2,LTL137,Vievis,0.009000000000000001,0.0126,0.017050000000000003,0.009899999999999999,0.00915,0.0064,0.006900000000000001,0.007500000000000001,0.0066500000000000005,0.0046,0.006350000000000001,0.0043,1.8633879781420768,0.0010000000000000009,0.9242424242424243,0.010650000000000003,556.6664461935313,Clear
2018-04-30,2,LTL137,Vievis,0.013800000000000002,0.016066666666666667,0.0212,0.013600000000000001,0.012566666666666669,0.014566666666666667,0.014400000000000001,0.013333333333333334,0.014266666666666669,0.016,0.011200000000000002,0.006000000000000001,1.6870026525198936,-0.0015166666666666644,0.9240196078431373,0.008633333333333331,558.3767956452532,Clear
